ind	href	item_name	value	extra_services
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Швейное производство. Пошив оптом. Швейный цех	от 180 ₽ за услугу	Пошив одежды|от 180 ₽; Изготовление лекал|от 3 000 ₽; Ещё 1 услуга
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Пошив штор / шторы на заказ	135 ₽ за услугу	Выезд дизанера на замер|Бесплатно; Установка карниза|Бесплатно
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Ремонт, перекрой, пошив меховых шуб	от 500 ₽ за услугу	Замена молнии и замка|от 500 ₽; Ремонт шубы|от 1 000 ₽; Ещё 3 услуги
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Разработка лекал, Лекала, Выкройки	399 ₽ за услугу	
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Шапка с ушками на заказ	2 400 ₽ за изделие	Вязание|2 400 ₽ за ед.
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Пошив одежды на wildberries от 100 единиц	249 ₽ за услугу	Пошив одежды|90 ₽; Производство одежды|100 ₽
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Швейное производство / Швейный цех / Одежда	от 100 ₽ за услугу	Пошив одежды|от 100 ₽; Производство одежды|от 100 ₽; Ещё 18 услуг
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Изготовление автомобильных авто ключей ремонт	от 350 ₽ за услугу	❗❗❗ВСЕ ЦЕНЫ ФИКСИРОВАНЫ❗❗ ❗|Бесплатно; ✅ Нарезка ключа , лезвия ключа по образцу/коду/фото|400 ₽; Ещё 6 услуг
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Пошив одежды оптом швейный цех	от 150 ₽ за услугу	Пошив одежды|от 150 ₽ за ед.; Производство одежды|от 150 ₽ за ед.; Ещё 14 услуг
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Пошив одежды Москва оптом	от 100 ₽ за услугу	Пошив одежды|100 ₽
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Ремонт трикотажных изделий трикотажное ателье	от 500 ₽ за услугу	
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Швейное производство мелкий опт премиум	от 200 ₽ за услугу	Пошив одежды|400 ₽ за ед.; Машинная вышивка|200 ₽ за ед.; Ещё 3 услуги
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Вышивка машинкой логотипов на одежде	от 120 ₽ за услугу	Машинная вышивка|от 149 ₽; Подгонка по фигуре, ушивание одежды|от 149 ₽; Ещё 1 услуга
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Выкупаем перешиваем шубы	от 500 ₽ за услугу	Ремонт шубы|от 650 ₽
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Пошив одежды высокого качества	от 100 ₽ за услугу	Пошив одежды|от 100 ₽; Изготовление лекал|от 100 ₽; Ещё 1 услуга
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Запуск бренда одежды/швейного цеха с нуля под ключ	19 000 ₽ за услугу	Консультация прокачка ⚡️ Кратко без воды о запуске личного бренда с нуля|от 20 000 ₽; Наставничество ⏳|от 200 000 ₽; Ещё 2 услуги
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Раскрой тканей, лазером. Автоматический комплекс	5 ₽ за услугу	
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Вышивка на одежде, брендирование, нашивки	от 200 ₽ за услугу	Машинная вышивка|от 200 ₽; Дизайн программа вышивки|от 100 ₽
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Машинная вышивка	от 599 ₽ за услугу	
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Пошив одежды оптом	200 ₽ за услугу	Пошив одежды|100 ₽; Изготовление лекал|100 ₽; Ещё 1 услуга
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Выкупаем перешиваем шубы	от 500 ₽ за услугу	Ремонт шубы|от 650 ₽
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Ремонт и Изготовление очков	150 ₽ за услугу	Изготовить очки по рецепту|от 1 500 ₽; Ремонт очков|от 500 ₽; Ещё 2 услуги
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Пошив штор на заказ	от 790 ₽ за услугу	Пошив штор|от 790 ₽
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Пошив: шопперы, авоськи, эко сумки + печать	от 170 ₽ за изделие	Пошив сумок шопперов|от 170 ₽
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Ремонт шуб, перекрой шуб, пошив шуб	от 400 ₽ за услугу	Ремонт шубы|от 400 ₽
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Меховое Ателье	от 2 000 ₽ за услугу	Пошив шубы|50 000 ₽; Ремонт шубы|2 000 ₽; Ещё 6 услуг
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Машинная вышивка на заказ	от 100 ₽ за услугу	Машинная вышивка|от 100 ₽; Дизайн машинной вышивки|от 400 ₽
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Швейный цех, производство одежды	500 ₽ за услугу	Пошив одежды|300 ₽; Производство одежды|300 ₽; Ещё 4 услуги
0	https://www.avito.ru/moskva/predlozheniya_uslug/bytovye_uslugi-ASgBAgICAUSYC7CfAQ	Изготовление автомобильных ключей зажигания	от 999 ₽ за услугу	Изготовление автомобильных ключей|от 999 ₽ за ед.; Изготовление магнитных ключей|от 200 ₽; Ещё 9 услуг
